Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.712611	0.000000	9.256122	-83.780464	0.000000	-3.347175	-5.631540	-27.488475	-44.260195	-7.318529	0.000000	-309.513886	0.000000	0.000000	0.000000	0.000000	-440.371532
100 	52.648226	0.000000	8.083900	-88.286211	0.000000	-2.964411	-5.491272	-31.927919	-45.367822	-4.127359	0.000000	-214.159614	0.000000	0.000000	0.000000	0.000000	-331.592482
200 	31.855269	0.000000	8.278346	-95.874720	0.000000	-1.601986	-5.309734	-32.531676	-45.209727	-6.002446	0.000000	-232.221054	0.000000	0.000000	0.000000	0.000000	-378.617727
300 	35.985932	0.000000	11.800232	-96.193843	0.000000	-2.279665	-5.542073	-33.299080	-45.237944	-5.762433	0.000000	-238.182233	0.000000	0.000000	0.000000	0.000000	-378.711106
400 	40.180313	0.000000	7.007186	-96.883293	0.000000	-2.140189	-5.500462	-33.047585	-44.228791	-4.417375	0.000000	-226.189156	0.000000	0.000000	0.000000	0.000000	-365.219353
500 	54.326951	0.000000	8.276385	-96.530286	0.000000	-1.554865	-5.183381	-33.667911	-45.433117	-6.504314	0.000000	-230.260673	0.000000	0.000000	0.000000	0.000000	-356.531211
600 	40.981640	0.000000	4.854909	-98.594958	0.000000	-1.368189	-5.477312	-32.029761	-45.355307	-6.318572	0.000000	-226.430148	0.000000	0.000000	0.000000	0.000000	-369.737697
700 	52.747466	0.000000	8.214898	-95.160502	0.000000	-1.849527	-5.437434	-31.079450	-45.399567	-6.440142	0.000000	-233.590261	0.000000	0.000000	0.000000	0.000000	-357.994519
800 	50.825881	0.000000	8.567613	-97.906837	0.000000	-0.974867	-5.573810	-31.806072	-44.887304	-5.873326	0.000000	-236.624350	0.000000	0.000000	0.000000	0.000000	-364.253071
900 	41.354349	0.000000	8.934500	-100.139623	0.000000	-0.828949	-5.410199	-31.277440	-45.276172	-6.085992	0.000000	-227.901536	0.000000	0.000000	0.000000	0.000000	-366.631061
1000 	45.305603	0.000000	8.789491	-96.237749	0.000000	-1.098729	-5.731278	-30.537081	-45.060428	-6.572490	0.000000	-226.758760	0.000000	0.000000	0.000000	0.000000	-357.901419
1100 	39.471428	0.000000	10.171571	-95.239543	0.000000	-0.924970	-5.802671	-30.530790	-44.763767	-6.116852	0.000000	-224.234627	0.000000	0.000000	0.000000	0.000000	-357.970222
1200 	48.495839	0.000000	9.342385	-94.083895	0.000000	-1.136392	-5.578566	-32.398625	-45.124156	-6.438960	0.000000	-221.122340	0.000000	0.000000	0.000000	0.000000	-348.044710
1300 	44.639358	0.000000	11.760481	-94.093336	0.000000	-0.886097	-5.251875	-33.453473	-44.869349	-6.513274	0.000000	-226.941403	0.000000	0.000000	0.000000	0.000000	-355.608969
1400 	46.552389	0.000000	12.334609	-98.762859	0.000000	-1.562661	-5.244822	-33.950769	-45.327038	-6.354519	0.000000	-214.826591	0.000000	0.000000	0.000000	0.000000	-347.142261
1500 	47.426618	0.000000	7.936559	-95.240895	0.000000	-1.740208	-5.826721	-32.872187	-44.150205	-4.912881	0.000000	-214.973229	0.000000	0.000000	0.000000	0.000000	-344.353148
1600 	44.595212	0.000000	10.158816	-95.912177	0.000000	-1.320341	-5.543315	-31.987339	-44.542439	-5.387527	0.000000	-225.005808	0.000000	0.000000	0.000000	0.000000	-354.944917
1700 	45.036370	0.000000	7.641160	-98.748314	0.000000	-1.898479	-5.439260	-32.752270	-45.099368	-6.349666	0.000000	-212.231538	0.000000	0.000000	0.000000	0.000000	-349.841364
1800 	44.219577	0.000000	10.835156	-95.845980	0.000000	-2.384018	-5.365279	-31.436907	-45.538316	-5.456505	0.000000	-212.542482	0.000000	0.000000	0.000000	0.000000	-343.514753
1900 	44.187806	0.000000	7.683642	-96.093089	0.000000	-2.664417	-5.692753	-31.161304	-44.900119	-6.230707	0.000000	-216.364419	0.000000	0.000000	0.000000	0.000000	-351.235360
2000 	49.066591	0.000000	8.972409	-94.589704	0.000000	-1.948424	-5.656767	-32.466455	-44.724306	-5.400389	0.000000	-207.361762	0.000000	0.000000	0.000000	0.000000	-334.108807
2100 	50.820511	0.000000	10.467535	-91.530809	0.000000	-1.465623	-5.735721	-31.038951	-44.816132	-5.359966	0.000000	-210.907520	0.000000	0.000000	0.000000	0.000000	-329.566675
2200 	43.274523	0.000000	11.219953	-96.552651	0.000000	-1.158060	-6.108689	-31.450415	-45.740721	-5.090896	0.000000	-208.496140	0.000000	0.000000	0.000000	0.000000	-340.103096
2300 	54.343749	0.000000	13.344043	-95.659981	0.000000	-1.459068	-5.571573	-31.013314	-44.981010	-4.604918	0.000000	-206.421343	0.000000	0.000000	0.000000	0.000000	-322.023416
2400 	53.892113	0.000000	11.055650	-95.170583	0.000000	-1.124505	-5.079844	-29.555210	-43.840402	-5.608423	0.000000	-206.642540	0.000000	0.000000	0.000000	0.000000	-322.073745
2500 	48.286068	0.000000	8.592694	-93.742308	0.000000	-0.996623	-5.137812	-32.300191	-45.320607	-4.465920	0.000000	-200.220165	0.000000	0.000000	0.000000	0.000000	-325.304863
