Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.712611	0.000000	9.256122	-83.780464	0.000000	-3.347175	-5.631540	-27.488475	-44.260195	-7.318529	0.000000	-309.513886	0.000000	0.000000	0.000000	0.654525	-439.717007
100 	52.651079	0.000000	8.072668	-88.287528	0.000000	-2.964905	-5.491469	-31.927626	-45.367714	-4.126944	0.000000	-214.126739	0.000000	0.000000	0.000000	-1.784862	-333.354040
200 	31.811767	0.000000	8.305525	-95.903211	0.000000	-1.602617	-5.303933	-32.539687	-45.203714	-6.003932	0.000000	-232.220140	0.000000	0.000000	0.000000	-1.361177	-380.021117
300 	36.028933	0.000000	11.788550	-96.212340	0.000000	-2.278989	-5.537519	-33.317743	-45.238781	-5.763511	0.000000	-238.139883	0.000000	0.000000	0.000000	-1.369687	-380.040970
400 	40.198857	0.000000	6.986410	-96.843565	0.000000	-2.143037	-5.496330	-33.105010	-44.222312	-4.422018	0.000000	-225.975172	0.000000	0.000000	0.000000	-1.364316	-366.386493
500 	54.534879	0.000000	8.257889	-96.593232	0.000000	-1.552670	-5.177752	-33.766054	-45.438316	-6.508995	0.000000	-229.965787	0.000000	0.000000	0.000000	-1.404550	-357.614589
600 	41.103968	0.000000	4.811915	-98.630632	0.000000	-1.376534	-5.464979	-32.057549	-45.343036	-6.287300	0.000000	-226.389743	0.000000	0.000000	0.000000	-1.431708	-371.065600
700 	52.342825	0.000000	8.128659	-95.250168	0.000000	-1.874700	-5.435539	-31.195816	-45.383932	-6.435067	0.000000	-234.354924	0.000000	0.000000	0.000000	-1.419710	-360.878373
800 	50.487626	0.000000	8.501264	-97.932612	0.000000	-0.976947	-5.552338	-31.971762	-44.799792	-5.875001	0.000000	-236.464436	0.000000	0.000000	0.000000	-1.332341	-365.916339
900 	41.883370	0.000000	9.212467	-100.228131	0.000000	-0.805573	-5.394363	-31.115814	-44.969639	-6.117907	0.000000	-228.747637	0.000000	0.000000	0.000000	-1.461123	-367.744349
1000 	43.941107	0.000000	8.421572	-96.236351	0.000000	-1.064871	-5.721930	-30.610899	-45.068072	-6.621349	0.000000	-225.591170	0.000000	0.000000	0.000000	-1.385227	-359.937190
1100 	41.320909	0.000000	9.797083	-95.561622	0.000000	-0.920720	-5.813687	-30.477221	-45.021077	-6.172504	0.000000	-223.734913	0.000000	0.000000	0.000000	-1.401531	-357.985284
1200 	49.240899	0.000000	9.651572	-94.137272	0.000000	-1.077280	-5.600815	-32.579287	-45.070514	-6.358855	0.000000	-223.094587	0.000000	0.000000	0.000000	-1.419486	-350.445625
1300 	43.018971	0.000000	11.563242	-93.781757	0.000000	-0.893173	-5.312543	-34.132507	-44.812887	-6.473252	0.000000	-226.381515	0.000000	0.000000	0.000000	-1.359680	-358.565101
1400 	44.389092	0.000000	11.034281	-99.089615	0.000000	-1.811177	-5.316948	-33.590030	-45.186176	-6.250907	0.000000	-216.654627	0.000000	0.000000	0.000000	-1.415548	-353.891655
1500 	43.683235	0.000000	7.722302	-93.942033	0.000000	-1.893916	-5.854479	-32.604724	-44.897078	-5.020279	0.000000	-222.075808	0.000000	0.000000	0.000000	-1.384213	-356.266992
1600 	43.804476	0.000000	9.552995	-94.930933	0.000000	-2.443830	-5.430255	-33.473751	-44.643795	-5.357532	0.000000	-230.520235	0.000000	0.000000	0.000000	-1.422394	-364.865253
1700 	43.062394	0.000000	8.195676	-97.840094	0.000000	-1.974093	-5.408817	-34.368201	-45.389373	-5.704399	0.000000	-217.735316	0.000000	0.000000	0.000000	-1.374976	-358.537199
1800 	45.943810	0.000000	11.843208	-97.377106	0.000000	-1.369192	-5.413131	-30.916402	-45.375630	-5.981835	0.000000	-216.832694	0.000000	0.000000	0.000000	-1.365476	-346.844449
1900 	50.009876	0.000000	9.066717	-97.240066	0.000000	-0.972831	-5.535487	-32.422556	-45.131509	-6.437476	0.000000	-210.382347	0.000000	0.000000	0.000000	-1.326783	-340.372460
2000 	44.920138	0.000000	13.317320	-93.908793	0.000000	-1.054950	-5.655641	-31.112423	-44.871197	-6.002089	0.000000	-210.469433	0.000000	0.000000	0.000000	-1.202803	-336.039871
