Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.704002	0.000000	9.274675	-83.742815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-203.997688	0.000000	0.000000	0.000000	0.000000	0.736831	-246.024996
1 	37.829943	0.000000	8.570415	-85.253630	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-203.909556	0.000000	0.000000	0.000000	0.000000	0.735287	-242.027540
2 	45.628363	0.000000	7.814968	-86.268462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-203.715266	0.000000	0.000000	0.000000	0.000000	0.732471	-235.807925
3 	45.093395	0.000000	6.827069	-86.829542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-203.509102	0.000000	0.000000	0.000000	0.000000	0.728160	-237.690020
4 	38.575286	0.000000	5.683735	-87.515083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-203.210129	0.000000	0.000000	0.000000	0.000000	0.721952	-245.744239
5 	29.582701	0.000000	5.169773	-89.319296	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-202.546184	0.000000	0.000000	0.000000	0.000000	0.714335	-256.398671
6 	25.524539	0.000000	6.310027	-91.027790	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-201.122865	0.000000	0.000000	0.000000	0.000000	0.703852	-259.612237
6 	25.112995	0.000000	5.455053	-90.214761	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-201.946088	0.000000	0.000000	0.000000	0.000000	0.709083	-260.883718
6 	26.733314	0.000000	5.243716	-89.777240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-202.274351	0.000000	0.000000	0.000000	0.000000	0.711706	-259.362854
7 	27.246690	0.000000	4.881428	-91.936669	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-201.347653	0.000000	0.000000	0.000000	0.000000	0.708283	-260.447921
7 	25.402952	0.000000	4.930921	-90.930777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-201.888434	0.000000	0.000000	0.000000	0.000000	0.709991	-261.775348
7 	25.673263	0.000000	5.052515	-90.373024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-202.100863	0.000000	0.000000	0.000000	0.000000	0.710848	-261.037261
8 	27.636825	0.000000	3.803196	-92.741491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.749736	0.000000	0.000000	0.000000	0.000000	0.707121	-261.344085
8 	24.558180	0.000000	4.321928	-91.664339	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-201.522078	0.000000	0.000000	0.000000	0.000000	-0.166227	-264.472537
8 	24.596379	0.000000	4.660950	-91.044779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-201.835871	0.000000	0.000000	0.000000	0.000000	-0.533136	-264.156457
9 	25.943306	0.000000	3.653896	-93.639936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-199.825419	0.000000	0.000000	0.000000	0.000000	-0.529029	-264.397181
9 	23.571353	0.000000	4.025886	-92.485578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.955750	0.000000	0.000000	0.000000	0.000000	-0.531086	-266.375175
10 	28.450049	0.000000	4.271952	-94.622698	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-198.707559	0.000000	0.000000	0.000000	0.000000	-0.524551	-261.132807
10 	22.885922	0.000000	3.951385	-93.634161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-199.964060	0.000000	0.000000	0.000000	0.000000	-0.527796	-267.288710
10 	22.436881	0.000000	3.944224	-93.080023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.493450	0.000000	0.000000	0.000000	0.000000	-0.529436	-267.721804
10 	22.804858	0.000000	3.974494	-92.787850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.733034	0.000000	0.000000	0.000000	0.000000	-0.530259	-267.271791
11 	22.718450	0.000000	4.295925	-93.967252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.119543	0.000000	0.000000	0.000000	0.000000	-0.528589	-267.601008
11 	22.070663	0.000000	4.006288	-93.393368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.454547	0.000000	0.000000	0.000000	0.000000	-0.529409	-268.300373
11 	22.264185	0.000000	3.957537	-93.094448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.600890	0.000000	0.000000	0.000000	0.000000	-0.529830	-268.003447
11 	22.491023	0.000000	3.957723	-92.942095	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.668741	0.000000	0.000000	0.000000	0.000000	-0.530044	-267.692133
12 	20.253125	0.000000	4.076003	-94.049307	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-199.838900	0.000000	0.000000	0.000000	0.000000	-0.529275	-270.088354
12 	20.907021	0.000000	3.926656	-93.514137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.290432	0.000000	0.000000	0.000000	0.000000	-0.529656	-269.500549
12 	21.581715	0.000000	3.920029	-93.232554	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.488762	0.000000	0.000000	0.000000	0.000000	-0.529849	-268.749422
12 	22.006912	0.000000	3.933382	-93.088413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-200.581046	0.000000	0.000000	0.000000	0.000000	-0.529946	-268.259112
13 	17.422466	0.000000	3.119741	-95.075702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-199.342311	0.000000	0.000000	0.000000	0.000000	-0.530001	-274.405807
