Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.712611	0.000000	9.256122	-83.780464	0.000000	-3.347175	-5.631540	-27.488475	-44.260195	-7.318529	0.000000	-309.513886	0.000000	0.000000	0.000000	3.154336	-437.217196
10 	127.272959	0.000000	9.869282	-88.888704	0.000000	-2.947792	-5.831744	-27.873092	-44.401547	-6.309946	0.000000	-242.232157	0.000000	0.000000	0.000000	3.161599	-278.181141
20 	80.086328	0.000000	16.939209	-87.016393	0.000000	-2.318263	-5.497328	-27.814383	-44.442209	-6.344779	0.000000	-222.738656	0.000000	0.000000	0.000000	3.204826	-295.941650
30 	47.116728	0.000000	10.610121	-91.920287	0.000000	-2.179091	-5.759150	-28.414197	-44.466231	-5.989192	0.000000	-220.146132	0.000000	0.000000	0.000000	3.197637	-337.949793
40 	71.524500	0.000000	10.681221	-91.439001	0.000000	-3.145243	-5.525957	-29.756227	-44.584701	-7.343217	0.000000	-220.009907	0.000000	0.000000	0.000000	3.184260	-316.414272
50 	86.587139	0.000000	9.119319	-90.332183	0.000000	-3.076924	-5.635409	-30.747349	-44.877503	-5.150522	0.000000	-207.461572	0.000000	0.000000	0.000000	3.174851	-288.400153
60 	56.443371	0.000000	12.851344	-91.262786	0.000000	-2.939479	-5.110226	-30.837950	-44.711331	-5.537630	0.000000	-222.725486	0.000000	0.000000	0.000000	3.185703	-330.644469
70 	43.823268	0.000000	10.495386	-88.761050	0.000000	-2.301518	-5.323344	-31.095529	-44.822824	-4.959966	0.000000	-217.212110	0.000000	0.000000	0.000000	3.175161	-336.982526
80 	40.473324	0.000000	16.423408	-89.493796	0.000000	-2.964278	-5.350777	-32.252721	-45.342906	-4.623641	0.000000	-220.710718	0.000000	0.000000	0.000000	3.142704	-340.699400
90 	75.071665	0.000000	15.089718	-88.557657	0.000000	-3.052847	-5.183327	-32.668130	-45.156570	-4.168383	0.000000	-225.982822	0.000000	0.000000	0.000000	3.128460	-311.479894
100 	49.274506	0.000000	7.723180	-90.435265	0.000000	-2.694522	-5.338616	-32.592646	-45.070178	-4.231167	0.000000	-225.944824	0.000000	0.000000	0.000000	3.128774	-346.180759
110 	44.579656	0.000000	9.901406	-91.413721	0.000000	-2.701820	-5.184972	-32.739133	-45.119547	-4.532854	0.000000	-221.595214	0.000000	0.000000	0.000000	3.137876	-345.668323
120 	34.496155	0.000000	9.717224	-93.887668	0.000000	-2.384251	-5.491945	-32.731238	-45.139193	-4.813544	0.000000	-227.621909	0.000000	0.000000	0.000000	3.118607	-364.737763
130 	54.941396	0.000000	6.502831	-95.069253	0.000000	-2.380292	-5.289706	-33.120123	-45.061594	-4.991568	0.000000	-221.715343	0.000000	0.000000	0.000000	3.120916	-343.062737
140 	49.921041	0.000000	4.131358	-96.400971	0.000000	-1.996577	-5.503074	-33.535054	-45.016017	-5.877429	0.000000	-232.333461	0.000000	0.000000	0.000000	3.146073	-363.464112
150 	30.238474	0.000000	5.751421	-96.043144	0.000000	-2.167719	-5.527367	-33.786897	-44.988554	-4.917982	0.000000	-224.982780	0.000000	0.000000	0.000000	3.167085	-373.257464
