Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.712611	0.000000	9.256122	-83.780464	0.000000	-3.347175	-5.631540	-27.488475	-44.260195	-7.318529	0.000000	-309.513886	0.000000	0.000000	0.000000	0.654525	-439.717007
10 	118.855909	0.000000	9.238690	-88.885144	0.000000	-2.813014	-5.739449	-28.069712	-44.217716	-6.598576	0.000000	-243.829523	0.000000	0.000000	0.000000	0.656864	-291.401671
20 	78.296269	0.000000	16.263305	-87.138858	0.000000	-2.184171	-5.366903	-28.143070	-44.226500	-6.413422	0.000000	-226.615705	0.000000	0.000000	0.000000	0.665213	-304.863842
30 	45.538776	0.000000	8.964026	-92.870449	0.000000	-2.334009	-5.624112	-29.816808	-44.310216	-5.517608	0.000000	-216.365425	0.000000	0.000000	0.000000	0.662567	-341.673259
40 	67.519194	0.000000	9.662364	-92.667376	0.000000	-3.084796	-5.489217	-30.633556	-44.556568	-6.746075	0.000000	-218.600825	0.000000	0.000000	0.000000	0.661575	-323.935279
50 	75.446231	0.000000	12.611508	-93.692772	0.000000	-2.968121	-5.606036	-31.160142	-44.775896	-4.789465	0.000000	-206.978183	0.000000	0.000000	0.000000	0.660977	-301.251898
60 	59.566919	0.000000	12.037283	-95.054626	0.000000	-2.651485	-5.211370	-31.106880	-44.750468	-5.161120	0.000000	-220.408633	0.000000	0.000000	0.000000	0.664750	-332.075630
70 	46.021094	0.000000	9.402260	-94.003689	0.000000	-2.064148	-5.432369	-31.704958	-44.771251	-4.702165	0.000000	-218.207942	0.000000	0.000000	0.000000	0.665930	-344.797237
80 	48.658578	0.000000	21.788112	-93.221384	0.000000	-2.692776	-5.307338	-32.064512	-45.053873	-4.296934	0.000000	-220.225196	0.000000	0.000000	0.000000	0.663469	-331.751853
90 	74.635903	0.000000	11.465555	-92.507327	0.000000	-2.946430	-5.358130	-32.318376	-44.919913	-4.047631	0.000000	-224.894189	0.000000	0.000000	0.000000	0.664278	-320.226259
100 	48.893367	0.000000	6.318871	-92.506384	0.000000	-2.525209	-5.485030	-32.111916	-45.078392	-4.252788	0.000000	-226.142692	0.000000	0.000000	0.000000	0.664433	-352.225739
110 	40.736374	0.000000	9.310301	-93.059391	0.000000	-2.669455	-5.361177	-31.593490	-45.030536	-4.668803	0.000000	-222.158631	0.000000	0.000000	0.000000	0.665042	-353.829765
120 	40.386154	0.000000	8.668029	-93.292306	0.000000	-2.288737	-5.394579	-32.016727	-45.154159	-4.872818	0.000000	-227.958371	0.000000	0.000000	0.000000	0.659339	-361.264175
130 	53.267117	0.000000	5.481596	-93.563227	0.000000	-2.347515	-5.456590	-32.651166	-45.240702	-4.935828	0.000000	-228.805167	0.000000	0.000000	0.000000	0.655779	-353.595704
140 	47.779210	0.000000	3.644410	-94.463517	0.000000	-2.030346	-5.487197	-33.011148	-45.435415	-5.876068	0.000000	-233.684523	0.000000	0.000000	0.000000	0.656789	-367.907805
150 	33.298064	0.000000	5.901937	-94.563292	0.000000	-1.971816	-5.527659	-32.850158	-45.406273	-5.271926	0.000000	-233.243065	0.000000	0.000000	0.000000	0.657594	-378.976595
160 	38.296818	0.000000	6.345916	-95.798074	0.000000	-2.408727	-5.491469	-32.654498	-45.350851	-5.246691	0.000000	-246.785634	0.000000	0.000000	0.000000	0.654919	-388.438290
170 	41.229039	0.000000	7.975042	-98.040600	0.000000	-2.416397	-5.481248	-32.543231	-45.321054	-5.511829	0.000000	-254.276826	0.000000	0.000000	0.000000	0.649302	-393.737800
180 	37.410689	0.000000	9.121295	-99.933459	0.000000	-2.274252	-5.607079	-32.429572	-45.274713	-6.114787	0.000000	-254.076051	0.000000	0.000000	0.000000	0.647955	-398.529974
190 	43.483674	0.000000	8.187211	-100.754435	0.000000	-2.139791	-5.673321	-32.022378	-45.403191	-6.041666	0.000000	-253.127631	0.000000	0.000000	0.000000	0.648585	-392.842943
200 	35.690772	0.000000	7.812833	-99.445135	0.000000	-1.948406	-5.628029	-31.653516	-45.467996	-5.773127	0.000000	-251.008738	0.000000	0.000000	0.000000	0.649280	-396.772062
210 	37.864912	0.000000	6.682242	-98.855041	0.000000	-2.021029	-5.591830	-31.954532	-45.478889	-6.492724	0.000000	-255.937340	0.000000	0.000000	0.000000	0.645211	-401.139020
220 	40.089163	0.000000	6.545949	-98.195392	0.000000	-2.096474	-5.553868	-32.733430	-45.513784	-7.200577	0.000000	-258.967452	0.000000	0.000000	0.000000	0.642909	-402.982955
230 	42.080850	0.000000	6.897651	-97.268385	0.000000	-2.039136	-5.589280	-33.079975	-45.501036	-7.021514	0.000000	-256.726645	0.000000	0.000000	0.000000	0.643376	-397.604093
240 	41.503039	0.000000	5.126057	-97.260637	0.000000	-2.194643	-5.580410	-33.029849	-45.399865	-7.173764	0.000000	-261.070812	0.000000	0.000000	0.000000	0.645544	-404.435339
250 	35.699929	0.000000	7.859912	-96.971528	0.000000	-2.577528	-5.493612	-32.669221	-45.310701	-6.679146	0.000000	-257.361286	0.000000	0.000000	0.000000	0.643424	-402.859757
260 	33.411560	0.000000	7.844329	-97.038488	0.000000	-2.795989	-5.500097	-32.629080	-45.170264	-6.463032	0.000000	-260.009219	0.000000	0.000000	0.000000	0.639855	-407.710425
270 	37.326828	0.000000	7.604510	-99.028742	0.000000	-2.825163	-5.391964	-32.743993	-45.205546	-6.562162	0.000000	-256.050256	0.000000	0.000000	0.000000	0.640005	-402.236483
