Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.712611	0.000000	9.256122	-83.780464	0.000000	-3.347175	-5.631540	-27.488475	-44.260195	-7.318529	0.000000	-309.513886	0.000000	0.000000	0.000000	0.654525	-439.717007
10 	118.855637	0.000000	9.238699	-88.885147	0.000000	-2.813014	-5.739449	-28.069715	-44.217705	-6.598553	0.000000	-243.829245	0.000000	0.000000	0.000000	0.113812	-291.944680
20 	78.300518	0.000000	16.264013	-87.139013	0.000000	-2.184172	-5.366905	-28.143078	-44.226406	-6.413160	0.000000	-226.613071	0.000000	0.000000	0.000000	-0.865849	-306.387122
30 	45.541374	0.000000	8.965211	-92.870775	0.000000	-2.334034	-5.624098	-29.816871	-44.309984	-5.517227	0.000000	-216.356704	0.000000	0.000000	0.000000	-0.112934	-342.436042
40 	67.515124	0.000000	9.665561	-92.667822	0.000000	-3.084882	-5.489166	-30.633580	-44.556147	-6.745505	0.000000	-218.599217	0.000000	0.000000	0.000000	-0.753693	-325.349326
50 	75.434072	0.000000	12.613249	-93.693096	0.000000	-2.968256	-5.605944	-31.160058	-44.775315	-4.788969	0.000000	-206.976555	0.000000	0.000000	0.000000	-1.410730	-303.331603
60 	59.570234	0.000000	12.037567	-95.053996	0.000000	-2.651727	-5.211622	-31.106581	-44.749542	-5.160804	0.000000	-220.411229	0.000000	0.000000	0.000000	-1.545217	-334.282917
70 	46.040361	0.000000	9.402598	-94.003082	0.000000	-2.064544	-5.432355	-31.704649	-44.770039	-4.703187	0.000000	-218.221997	0.000000	0.000000	0.000000	-1.336082	-346.792976
80 	48.678416	0.000000	21.791859	-93.221177	0.000000	-2.693576	-5.307447	-32.064091	-45.051063	-4.295404	0.000000	-220.235512	0.000000	0.000000	0.000000	-1.703150	-334.101145
90 	74.637332	0.000000	11.459669	-92.506782	0.000000	-2.947456	-5.357959	-32.318000	-44.914783	-4.047415	0.000000	-224.890969	0.000000	0.000000	0.000000	-1.796654	-322.683016
100 	48.876600	0.000000	6.309436	-92.504142	0.000000	-2.526604	-5.485309	-32.109266	-45.070627	-4.253019	0.000000	-226.116437	0.000000	0.000000	0.000000	-1.760271	-354.639639
110 	40.718711	0.000000	9.310487	-93.055823	0.000000	-2.671862	-5.361008	-31.591342	-45.025363	-4.668728	0.000000	-222.148074	0.000000	0.000000	0.000000	-1.700321	-356.193321
120 	40.378135	0.000000	8.665917	-93.288072	0.000000	-2.292625	-5.394314	-31.963370	-45.140661	-4.872724	0.000000	-227.930763	0.000000	0.000000	0.000000	-1.164476	-363.002953
130 	53.255598	0.000000	5.475109	-93.558553	0.000000	-2.352082	-5.455881	-32.647082	-45.230795	-4.935520	0.000000	-228.793739	0.000000	0.000000	0.000000	-1.330194	-355.573141
140 	47.792820	0.000000	3.642757	-94.458722	0.000000	-2.035400	-5.486473	-33.012371	-45.433274	-5.875553	0.000000	-233.683325	0.000000	0.000000	0.000000	-1.406346	-369.955886
150 	33.302314	0.000000	5.909237	-94.555826	0.000000	-1.976378	-5.527438	-32.853440	-45.403667	-5.271990	0.000000	-233.235501	0.000000	0.000000	0.000000	-1.414116	-381.026805
160 	38.281147	0.000000	6.356540	-95.792758	0.000000	-2.413737	-5.491378	-32.658746	-45.348747	-5.250599	0.000000	-246.755777	0.000000	0.000000	0.000000	-1.561387	-390.635441
170 	41.213032	0.000000	7.997401	-98.037240	0.000000	-2.421001	-5.480882	-32.547795	-45.319953	-5.513625	0.000000	-254.244975	0.000000	0.000000	0.000000	-1.259795	-395.614833
180 	37.374148	0.000000	9.131576	-99.930613	0.000000	-2.277729	-5.606993	-32.435130	-45.273431	-6.114997	0.000000	-254.096658	0.000000	0.000000	0.000000	-0.907196	-400.137022
190 	43.468923	0.000000	8.184630	-100.754310	0.000000	-2.143613	-5.673945	-32.030095	-45.401509	-6.041538	0.000000	-253.103894	0.000000	0.000000	0.000000	-1.189743	-394.685096
200 	35.663998	0.000000	7.800879	-99.443867	0.000000	-1.952230	-5.629336	-31.657196	-45.464717	-5.772059	0.000000	-250.982606	0.000000	0.000000	0.000000	-1.676080	-399.113215
210 	37.877161	0.000000	6.684096	-98.860454	0.000000	-2.025168	-5.593725	-31.962456	-45.473278	-6.490386	0.000000	-255.901456	0.000000	0.000000	0.000000	-1.943952	-403.689618
220 	40.060455	0.000000	6.542429	-98.204421	0.000000	-2.099569	-5.555910	-32.742144	-45.509325	-7.196316	0.000000	-258.954145	0.000000	0.000000	0.000000	-1.667736	-405.326682
230 	42.042178	0.000000	6.891635	-97.281918	0.000000	-2.042519	-5.591949	-33.086268	-45.498686	-7.017091	0.000000	-256.689516	0.000000	0.000000	0.000000	-1.661705	-399.935840
240 	41.507891	0.000000	5.129519	-97.272170	0.000000	-2.199323	-5.583920	-33.030164	-45.399631	-7.170755	0.000000	-261.070906	0.000000	0.000000	0.000000	-1.671251	-406.760711
250 	35.719989	0.000000	7.868268	-96.975135	0.000000	-2.582384	-5.494074	-32.671654	-45.312626	-6.677546	0.000000	-257.378433	0.000000	0.000000	0.000000	-1.774357	-405.277952
260 	33.419667	0.000000	7.853538	-97.042139	0.000000	-2.799363	-5.501188	-32.636438	-45.172522	-6.461541	0.000000	-259.993272	0.000000	0.000000	0.000000	-2.169389	-410.502648
270 	37.368791	0.000000	7.596205	-99.026880	0.000000	-2.825779	-5.392751	-32.751532	-45.207105	-6.560081	0.000000	-256.024891	0.000000	0.000000	0.000000	-2.269582	-405.093606
280 	34.015416	0.000000	6.391184	-98.577397	0.000000	-2.348646	-5.455630	-32.570816	-45.287527	-6.382576	0.000000	-254.546447	0.000000	0.000000	0.000000	-2.270699	-407.033138
290 	32.198003	0.000000	6.880924	-99.411003	0.000000	-2.456764	-5.311148	-32.663822	-45.200691	-6.121612	0.000000	-253.966261	0.000000	0.000000	0.000000	-2.047451	-408.099826
300 	32.038526	0.000000	8.560242	-98.470874	0.000000	-2.353441	-5.486830	-32.710538	-45.196953	-5.645159	0.000000	-252.904888	0.000000	0.000000	0.000000	-2.045400	-404.215315
310 	38.591515	0.000000	7.041907	-100.405024	0.000000	-2.409768	-5.375379	-33.317109	-45.142235	-5.700702	0.000000	-252.839691	0.000000	0.000000	0.000000	-1.803727	-401.360213
320 	41.497425	0.000000	5.132472	-99.206868	0.000000	-2.469859	-5.404713	-33.611541	-45.170457	-5.723552	0.000000	-248.076328	0.000000	0.000000	0.000000	-1.543371	-394.576791
330 	34.406793	0.000000	7.485361	-98.138231	0.000000	-2.726852	-5.339545	-33.585790	-45.193314	-4.975288	0.000000	-246.040764	0.000000	0.000000	0.000000	-1.545903	-395.653533
340 	31.599480	0.000000	7.192715	-97.677414	0.000000	-2.464773	-5.470487	-33.080512	-45.160225	-4.719983	0.000000	-248.858508	0.000000	0.000000	0.000000	-1.559932	-400.199639
350 	26.001147	0.000000	6.989920	-97.562264	0.000000	-2.839937	-5.500048	-32.832425	-44.915814	-5.034424	0.000000	-241.743328	0.000000	0.000000	0.000000	-1.689011	-399.126184
360 	36.904651	0.000000	4.652000	-96.680544	0.000000	-2.761818	-5.498198	-32.789580	-44.757987	-5.105207	0.000000	-242.927293	0.000000	0.000000	0.000000	-1.626209	-390.590186
370 	36.937051	0.000000	6.151723	-96.352668	0.000000	-2.618628	-5.475158	-32.766376	-44.786976	-5.283618	0.000000	-243.379723	0.000000	0.000000	0.000000	-1.623115	-389.197488
380 	33.821395	0.000000	7.774616	-96.676953	0.000000	-2.241455	-5.473072	-32.810846	-44.752901	-4.971401	0.000000	-245.475046	0.000000	0.000000	0.000000	-1.617323	-392.422986
390 	40.010221	0.000000	8.833854	-97.412069	0.000000	-1.905232	-5.500425	-32.989141	-44.606198	-5.050925	0.000000	-249.127430	0.000000	0.000000	0.000000	-1.176854	-388.924199
400 	42.928723	0.000000	7.328033	-96.781776	0.000000	-2.160256	-5.505456	-32.977415	-44.676959	-4.394580	0.000000	-247.738625	0.000000	0.000000	0.000000	-1.311369	-385.289680
410 	40.837289	0.000000	8.693449	-96.949178	0.000000	-1.906236	-5.435568	-32.412417	-44.748197	-4.823071	0.000000	-250.791820	0.000000	0.000000	0.000000	-1.885149	-389.420899
420 	43.241104	0.000000	9.867560	-96.571774	0.000000	-1.863174	-5.458026	-32.406297	-44.839803	-5.360792	0.000000	-245.796787	0.000000	0.000000	0.000000	-1.326706	-380.514695
430 	41.015157	0.000000	7.704766	-96.652675	0.000000	-2.098213	-5.330428	-32.231203	-44.826822	-5.444295	0.000000	-244.729507	0.000000	0.000000	0.000000	-1.539347	-384.132567
