Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	95.256607	0.000000	10.979141	-383.612337	0.000000	-8.687721	-6.922974	-89.012497	-106.808997	-24.640746	0.000000	-883.756658	0.000000	0.000000	0.000000	1.006413	-1396.199768
5 	34887.631079	0.000000	39.533243	-377.431750	0.000000	-4.223760	-8.391269	-86.094001	-107.926599	-24.807984	0.000000	-797.026256	0.000000	0.000000	0.000000	1.152665	33522.415369
10 	28208.666512	0.000000	69.655306	-376.439233	0.000000	-3.706931	-8.822676	-86.102146	-107.650476	-24.652883	0.000000	-765.068865	0.000000	0.000000	0.000000	1.149707	26907.028314
15 	24642.996425	0.000000	100.247029	-375.691768	0.000000	-3.608145	-8.892105	-84.942584	-107.229372	-24.492409	0.000000	-750.100058	0.000000	0.000000	0.000000	1.147191	23389.434203
20 	22046.457029	0.000000	132.034315	-375.208376	0.000000	-3.428267	-8.961949	-84.994693	-107.004455	-24.346500	0.000000	-737.363387	0.000000	0.000000	0.000000	1.145189	20838.328908
25 	19850.262843	0.000000	170.186979	-374.685720	0.000000	-3.180173	-9.066019	-85.039220	-106.657996	-24.299790	0.000000	-724.506736	0.000000	0.000000	0.000000	1.435787	18694.449955
30 	17941.964474	0.000000	212.008731	-373.940477	0.000000	-2.875331	-9.306382	-85.561109	-106.788381	-24.319377	0.000000	-714.851910	0.000000	0.000000	0.000000	1.434059	16837.764296
35 	16338.776199	0.000000	245.838638	-373.709820	0.000000	-2.529726	-9.331835	-84.819846	-106.221623	-24.354394	0.000000	-707.218893	0.000000	0.000000	0.000000	2.317091	15278.745791
40 	14995.049073	0.000000	268.371966	-373.899928	0.000000	-2.165798	-9.679791	-83.931131	-106.056380	-24.295700	0.000000	-700.571198	0.000000	0.000000	0.000000	2.314156	13965.135268
45 	13862.526855	0.000000	281.132400	-374.252500	0.000000	-1.806146	-10.150452	-84.483228	-105.759476	-24.178639	0.000000	-693.731785	0.000000	0.000000	0.000000	2.310596	12851.607624
50 	12894.814967	0.000000	286.998652	-374.613337	0.000000	-1.469908	-10.722436	-84.015369	-104.537224	-23.999853	0.000000	-687.079001	0.000000	0.000000	0.000000	2.306472	11897.682965
55 	12060.129077	0.000000	289.093197	-374.921433	0.000000	-1.178128	-11.046883	-83.599499	-104.425985	-23.614006	0.000000	-681.653367	0.000000	0.000000	0.000000	2.301922	11071.084894
60 	11331.936897	0.000000	289.727199	-375.149205	0.000000	-0.944190	-11.076660	-82.850692	-104.508247	-23.433662	0.000000	-677.654354	0.000000	0.000000	0.000000	2.297096	10348.344182
65 	10688.727878	0.000000	290.182755	-375.239009	0.000000	-0.768560	-11.111305	-82.710853	-105.007106	-23.358472	0.000000	-674.341683	0.000000	0.000000	0.000000	2.881004	9709.254649
70 	10116.659820	0.000000	290.881334	-375.011921	0.000000	-0.642176	-11.184010	-83.096336	-105.642814	-23.286905	0.000000	-671.192628	0.000000	0.000000	0.000000	2.875787	9140.360151
75 	9603.299248	0.000000	291.980657	-374.613125	0.000000	-0.551845	-11.245666	-82.217567	-105.779800	-23.216940	0.000000	-668.390933	0.000000	0.000000	0.000000	2.870579	8632.134608
80 	9136.350383	0.000000	293.542971	-374.126898	0.000000	-0.484504	-11.313171	-81.076131	-105.797060	-23.149936	0.000000	-665.876787	0.000000	0.000000	0.000000	2.865445	8170.934313
85 	8711.207605	0.000000	295.386219	-374.008625	0.000000	-0.431355	-11.456475	-78.648384	-105.619156	-23.087474	0.000000	-663.450500	0.000000	0.000000	0.000000	3.110799	7753.002654
90 	8319.778211	0.000000	297.614621	-374.532240	0.000000	-0.387255	-11.586701	-77.988770	-105.415416	-23.029942	0.000000	-660.997524	0.000000	0.000000	0.000000	3.105857	7366.560843
95 	7957.104730	0.000000	299.657147	-374.449970	0.000000	-0.349282	-11.632123	-77.648184	-105.392844	-22.976158	0.000000	-658.518097	0.000000	0.000000	0.000000	2.501661	7008.296880
100 	7621.210893	0.000000	301.664236	-374.204591	0.000000	-0.315762	-11.625420	-77.216731	-105.281129	-22.925022	0.000000	-656.006102	0.000000	0.000000	0.000000	1.951835	6677.252209
105 	7309.643980	0.000000	303.673704	-373.966616	0.000000	-0.285650	-11.606484	-76.635665	-104.593984	-22.855048	0.000000	-653.583619	0.000000	0.000000	0.000000	1.946644	6371.737262
110 	7019.654203	0.000000	305.607885	-373.749135	0.000000	-0.258126	-11.597581	-76.225346	-104.083867	-22.712483	0.000000	-651.177718	0.000000	0.000000	0.000000	1.941742	6087.399573
115 	6749.156650	0.000000	307.570799	-373.546659	0.000000	-0.232697	-11.627110	-76.074951	-103.948413	-22.599120	0.000000	-648.559295	0.000000	0.000000	0.000000	1.937167	5822.076370
120 	6495.677463	0.000000	309.464302	-373.347996	0.000000	-0.209460	-11.746166	-76.371957	-103.841117	-22.561908	0.000000	-645.927567	0.000000	0.000000	0.000000	1.932733	5573.068326
125 	6256.812640	0.000000	311.239408	-373.151115	0.000000	-0.188513	-12.046541	-78.079896	-103.750318	-22.548976	0.000000	-643.496512	0.000000	0.000000	0.000000	2.379133	5337.169311
130 	6033.242420	0.000000	312.758535	-372.958403	0.000000	-0.169627	-12.320497	-78.477078	-103.694221	-22.535687	0.000000	-641.054334	0.000000	0.000000	0.000000	2.374622	5117.165729
