Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	95.256607	0.000000	10.979141	-383.612337	0.000000	-8.687721	-6.922974	-89.012497	-106.808997	-24.640746	0.000000	-883.756658	0.000000	0.000000	0.000000	9.736745	-1387.469436
5 	218.613903	0.000000	28.480333	-391.423491	0.000000	-7.710340	-6.659702	-88.992751	-106.849596	-22.628836	0.000000	-705.378434	0.000000	0.000000	0.000000	11.144671	-1071.404243
10 	158.213484	0.000000	38.288233	-400.119215	0.000000	-6.411141	-6.830442	-88.966756	-106.865174	-17.839988	0.000000	-652.846641	0.000000	0.000000	0.000000	11.016142	-1072.361496
15 	189.407565	0.000000	35.291480	-401.577649	0.000000	-7.843308	-7.021151	-91.440802	-106.975172	-22.979833	0.000000	-653.958736	0.000000	0.000000	0.000000	11.050843	-1056.046765
20 	243.695121	0.000000	27.236990	-368.040828	0.000000	-8.707901	-7.043268	-94.027250	-107.260912	-17.309000	0.000000	-593.009246	0.000000	0.000000	0.000000	11.058858	-913.407435
25 	183.217314	0.000000	29.643546	-395.814671	0.000000	-7.746950	-7.098010	-93.745717	-106.494591	-19.331386	0.000000	-622.673355	0.000000	0.000000	0.000000	13.805320	-1026.238499
30 	133.362506	0.000000	29.486628	-399.343618	0.000000	-7.626951	-6.872840	-94.869392	-106.490763	-19.727786	0.000000	-621.531517	0.000000	0.000000	0.000000	13.942241	-1079.671492
35 	229.486544	0.000000	36.311305	-403.006891	0.000000	-8.468742	-6.810971	-94.436721	-107.090441	-22.663753	0.000000	-633.613987	0.000000	0.000000	0.000000	22.373767	-987.919891
40 	118.339867	0.000000	20.978105	-404.366454	0.000000	-7.785677	-6.566349	-93.427971	-107.347669	-23.632415	0.000000	-655.759246	0.000000	0.000000	0.000000	22.317995	-1137.249814
45 	106.494249	0.000000	25.639689	-409.182022	0.000000	-6.716491	-6.466928	-94.059454	-107.016068	-22.725292	0.000000	-640.226393	0.000000	0.000000	0.000000	22.246327	-1132.012383
