Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	95.256607	0.000000	10.979141	-383.612337	0.000000	-8.687721	-6.922974	-89.012497	-106.808997	-24.640746	0.000000	-883.756658	0.000000	0.000000	0.000000	1.006413	-1396.199768
5 	218.646752	0.000000	28.503869	-391.424028	0.000000	-7.710348	-6.659705	-88.989686	-106.847864	-22.629288	0.000000	-705.382034	0.000000	0.000000	0.000000	1.152480	-1081.339851
10 	158.115590	0.000000	38.259171	-400.122371	0.000000	-6.411200	-6.830549	-88.954130	-106.870797	-17.842632	0.000000	-652.814250	0.000000	0.000000	0.000000	1.140344	-1082.330825
15 	189.275573	0.000000	35.265212	-401.592303	0.000000	-7.843314	-7.021603	-91.418458	-106.964909	-22.985929	0.000000	-653.948812	0.000000	0.000000	0.000000	1.145161	-1066.089383
20 	243.665371	0.000000	27.203628	-368.067514	0.000000	-8.708077	-7.043951	-93.996682	-107.255499	-17.312620	0.000000	-592.948051	0.000000	0.000000	0.000000	1.147226	-923.316171
25 	183.075412	0.000000	29.553206	-395.864729	0.000000	-7.745717	-7.099221	-93.731681	-106.490493	-19.338578	0.000000	-622.480843	0.000000	0.000000	0.000000	1.432418	-1038.690227
30 	133.376954	0.000000	29.440744	-399.436462	0.000000	-7.625969	-6.873251	-94.844445	-106.476923	-19.733491	0.000000	-621.196075	0.000000	0.000000	0.000000	1.447889	-1091.921029
35 	229.775897	0.000000	36.258869	-403.120765	0.000000	-8.468022	-6.815488	-94.380578	-107.104609	-22.658046	0.000000	-633.468027	0.000000	0.000000	0.000000	2.321545	-1007.659224
40 	118.529525	0.000000	20.990596	-404.498394	0.000000	-7.783997	-6.572235	-93.360254	-107.355839	-23.624368	0.000000	-655.565717	0.000000	0.000000	0.000000	2.318118	-1156.922565
45 	106.533500	0.000000	25.668376	-409.308708	0.000000	-6.714224	-6.476330	-93.977672	-107.033104	-22.727301	0.000000	-640.151482	0.000000	0.000000	0.000000	2.313441	-1151.873505
50 	118.835858	0.000000	25.474203	-408.543061	0.000000	-8.000806	-6.383367	-94.900442	-107.447108	-20.197433	0.000000	-629.285013	0.000000	0.000000	0.000000	2.300073	-1128.147096
55 	138.059550	0.000000	22.896970	-413.414470	0.000000	-7.594821	-6.603733	-96.572633	-107.815119	-23.947683	0.000000	-659.119038	0.000000	0.000000	0.000000	2.282192	-1151.828785
60 	90.430267	0.000000	19.375041	-410.077143	0.000000	-7.728407	-6.311930	-95.944563	-107.050388	-20.269754	0.000000	-659.573705	0.000000	0.000000	0.000000	2.274887	-1194.875694
65 	119.627795	0.000000	25.175395	-414.445677	0.000000	-7.641280	-6.337381	-99.791464	-107.164144	-21.134709	0.000000	-674.364325	0.000000	0.000000	0.000000	2.848052	-1183.227739
70 	94.073935	0.000000	24.447595	-416.095958	0.000000	-7.648019	-6.200766	-99.060122	-107.643397	-23.599906	0.000000	-678.514696	0.000000	0.000000	0.000000	2.844505	-1217.396831
75 	131.660764	0.000000	19.041866	-413.351637	0.000000	-7.119243	-6.386174	-99.883022	-107.586711	-22.638158	0.000000	-692.762056	0.000000	0.000000	0.000000	2.852842	-1196.171529
80 	92.704964	0.000000	18.190323	-413.555243	0.000000	-8.022686	-6.120679	-100.040531	-107.720566	-20.975982	0.000000	-689.389217	0.000000	0.000000	0.000000	2.876442	-1232.053175
85 	98.021726	0.000000	23.476648	-414.669815	0.000000	-8.208295	-6.111194	-98.354440	-107.509863	-22.228393	0.000000	-697.776650	0.000000	0.000000	0.000000	3.127111	-1230.233165
90 	118.112156	0.000000	20.500942	-415.857633	0.000000	-7.920649	-6.119276	-97.338674	-108.150405	-21.338371	0.000000	-692.006276	0.000000	0.000000	0.000000	3.123713	-1206.994472
95 	99.530643	0.000000	18.814436	-418.237582	0.000000	-8.123112	-6.375572	-96.700999	-108.196702	-22.170309	0.000000	-709.393698	0.000000	0.000000	0.000000	3.139606	-1247.713289
100 	93.898567	0.000000	20.736947	-419.286819	0.000000	-8.583655	-6.368010	-97.690925	-108.078060	-21.351816	0.000000	-707.313744	0.000000	0.000000	0.000000	3.158699	-1250.878816
105 	112.062490	0.000000	25.479051	-422.119069	0.000000	-8.701347	-6.293671	-97.975719	-108.293868	-21.864905	0.000000	-708.975472	0.000000	0.000000	0.000000	3.154817	-1233.527693
110 	92.371735	0.000000	15.993656	-422.082784	0.000000	-7.528501	-6.135014	-98.058151	-108.322162	-22.803490	0.000000	-709.382052	0.000000	0.000000	0.000000	3.154113	-1262.792650
